Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
"GIBBINS, John",Untitled (portrait of a woman in black),,photography,gift,1984,,1912,2012,New Zealand,1940
"SASAJIMA, Kihei",In the woods,,graphics,gift,1972,,1906,1993,Japan,1960
"REES, Lloyd",Reflections at Park Rd ferry Princes barge (Melbourne?),,graphics,gift,1999,,1895,1988,Australia,1912
"PAGE, Charles",Riverside mine (from 'Journeys north' portfolio),,photography,museum accession,1987,,1946,,Australia,1986
"SWAN, James (Creator)",Never was so much owed to so many by so few,,graphics,bequest,1990,,1959,,,1980
"AIRD, Michael",Aboriginal protest gathering (from 'Portraits' series),,photography,gift,1990,,1963,,Australia,1988
"FINCH, Lynette",Working drawing for 'Stress - it's more than a six letter word' (from untitled series),,graphics,gift,1991,,1959,,Australia,1987
"MINCHAM, Jeff",Platter: Flowering Reeds,,object,museum accession,1981,,1950,,South Africa,1981
"HOSKING, Marian",Bracelet,,,museum accession,1981,,1948,,Australia,1980
"YAMAZAKI, Taiho",Screen:  Phoenix fluttering,,object,gift,1976,,,,Japan,1970
UNKNOWN,Page turner,,object,museum accession,1979,,,,China,
"OWEN, George Seymour","A farmstead on Lytton Road, Bulimba",,painting,gift,1999,,1844,1921,United States,1889
"BURSTOW, Graham","Bath tub derby, Toowoomba (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1927,2022,Australia,1986
JOSIAH WEDGWOOD & CO. (Manufacturer),Spherical vase,,object,gift,1990,,1759,1854,,1932
CHINESE STYLE,Mandarin square,,object,bequest,1975,,,,China,1800
"DUMBRELL, Merrill",Tapestry: Rocky day,,object,museum accession,1981,,1945,,Australia,1980
"ROSS, Don",Pendant and chain: No. 4 from the 'Musica' series,,,museum accession,1981,,1917,2015,Australia,1981
"CROWLE, Pigeon",Afternoon,,painting,gift,1962,,1903,1960,,1927
"LEWERS, Margo",Bushfire 1962,,painting,museum accession,1962,,1908,1978,New Zealand,1962
"COATES, George",Mrs Edith Urquhart,,painting,gift,1934,,1869,1930,Australia,1923
"NATOIRE, Charles",(Study of a female nude viewed from below),,graphics,museum accession,1979,,1700,1777,France,1728
BRITISH SCHOOL 18th Century,Untitled (nude leaning backward),,graphics,museum accession,1979,,,,United Kingdom,
"MISSI, Billy",Dhangal um ariak,,graphics,gift,2006,,1970,2012,Australia,2000
"BOYD, Arthur (Creator)",(Untitled) (from 'Narcissus suite' portfolio),,graphics,gift,1986,,1920,1999,,1984
"WILLIAMS, Fred",Hummock and gum tree,,graphics,museum accession,1981,,1927,1982,Australia,1965
UNKNOWN,Enamelled box,,object,gift,1963,,,,,
"LAWRENCE, Mary",Water bottle,,object,gift,1982,,1867,1955,Australia,1923
"HOBSON, Dottie",Puunya,,,gift,2009,,1960,,Australia,2008
KUNIMASA (Creator),Woman changing a string of the samisen (no. 23 from incomplete set of 25 reprints),,graphics,gift,1990,,1961,,,1961
CONTINENTAL STYLE,Two figurines:  April and June,,object,bequest,1978,,,,Germany,
"WILSON, Eric",Rue Poulettier,,graphics,museum accession,1958,,1911,1946,United States,
DOULTON & CO (Lambeth) (Manufacturer),Loving cup,,object,gift,1937,,1858,1956,,1937
"GLEESON, James",Herakles I,,painting,museum accession,1976,,1915,2008,New Zealand,1967
"NUNGURRAYI, Gabrielle Possum",Women's corroboree,,painting,museum accession,1987,,1967,,Australia,1987
"MADDISON, Ruth","Study for 'Christmas holiday with Bob's family, Queensland, 1978' series",,photography,gift,1995,,1945,,Australia,1978
"PIGGOTT, Rosslynd",Blue Pont Marie and dissolving pont,,painting,gift,1996,,1958,,Australia,1995
"WARNER, Carl",Under 303 (from 'Under' series),,photography,gift,2009,,1965,,Australia,2003
"LEVY, Col",Bottle,,object,museum accession,1981,,1933,,New Zealand,1981
"WILLIAMS, Fred",Echuca landscape,,painting,gift,1982,,1927,1982,Australia,1961
UNKNOWN,Bowl,,object,bequest,1978,,,,,1820
UNKNOWN,Mr and Mrs Caleb Morgan,,photography,gift,1991,,,,United States,1850
UNKNOWN,Vase (Tsun shape),,object,museum accession,1979,,,,China,1736
PINCHES (Medallist),Medallion:  Christus iterum cadit,,object,bequest,1982,,1900,1972,Australia,1947
"SMITH, W.R. (Engraver)","Longships Lighthouse, Land's End (from 'Picturesque views in England and Wales')",,graphics,gift,1953,,1827,1775,,1836
"DUNCAN, George",Coastal bushland (Victoria),,painting,museum accession,1975,,1904,1974,New Zealand,1944
"GILL, S.T. (Creator)",Prospecting (from 'The Australian sketchbook'),,graphics,museum accession,1962,,1818,1880,,1865
"GIMBLETT, Max",Loco,,graphics,gift,2000,,1935,,New Zealand,1986
"ASHWORTH, Olive (Creator)",Textile length:  Tropical fan palms,,object,gift,1996,,1915,2000,,1978
UNKNOWN,Footed banquetting dish,,object,gift,1990,,,,Japan,1603
"HERBERT, Harold","Old Flemish home, Bradford on Avon",,graphics,gift,1945,,1892,1945,Australia,1923
"BEERENDONK, Theo",Untitled (interior of a tool shed),,graphics,gift,1947,,1905,1979,,
"CONDER, Charles",(Design for a fan),,painting,gift,1986,,1868,1909,United States,1904
"DRYSDALE, Russell",Kimberley landscape,,graphics,museum accession,1986,,1912,1981,New Zealand,1978
KUNBARLLANJNJA COMMUNITY,Wallaby,,painting,gift,1996,,,,Australia,1960
"FAIRWEATHER, Ian",(Cèzannesque village landscape),,painting,bequest,1983,,1891,1974,United States,1920
"CROOK-KING, F.G.",Flame of Aladdin,,photography,gift,1984,,1900,1978,New Zealand,1942
"LANG, Connie (Artist)",Ptilotus,,graphics,assisted purchase,1998,,1920,2015,,1997
UNKNOWN,Box,,,gift,1963,,,,,
UNKNOWN,Netsuke:  (seated demon with leaves in his mouth),,sculpture,bequest,1985,,,,Japan,
"McMASTER, Val",Covered hexagonal box,,object,gift,1982,,1913,1983,Australia,1936
"UTAMARO, attrib. to Kitagawa",Fan design with cockerills,,graphics,gift,1990,,1753,1806,Japan,
UNKNOWN (Creator),"(Sheep, Central Region)",,photography,bequest,1994,,,,,1914
UNKNOWN (Creator),(Mapleton),,photography,bequest,1994,,,,,1914
"MALANI, Nalini",Mohini (from 'Stories retold' series),,painting,gift,2002,,1946,,India,2002
UNKNOWN,Netsuke:  (Daruma with dice),,sculpture,bequest,1985,,,,Japan,
WIRIGERIE,(Decorated bean pod),,object,museum accession,1990,,,,Australia,1989
SHARAKU,Sumo wrestler (reprint),,graphics,gift,1990,,1794,,Japan,
"SHIGA, Shigeo",Vase,,object,gift,1977,,1928,2011,Japan,1977
"NUSKE, Bruce",Sculpture:  A little bit of gossip goes a long way,,object,museum accession,1981,,1949,,South Africa,1980
"PAGE, Charles",Ravenswood (from 'Journeys north' portfolio),,photography,museum accession,1987,,1946,,Australia,1986
UNKNOWN,Netsuke:  (man wearing scarf around head),,sculpture,bequest,1975,,,,Japan,
UNKNOWN,Netsuke:  (old man with walking stick),,sculpture,bequest,1975,,,,Japan,
UNKNOWN,Netsuke:  (man carrying fan and pack),,sculpture,bequest,1975,,,,Japan,
"WILLIAMS, Fred",Rhonda Senbergs,,graphics,gift,1998,,1927,1982,Australia,1964
PINCHES (Medallist),Medallion:  Christus deponiturin sepulchrum,,object,bequest,1982,,1900,1972,Australia,1948
"YOSHIDA, Toshi",Stone lanterns,,graphics,gift,2001,,1911,1995,Japan,1941
"YOSHIDA, Toshi",Village of plums,,graphics,gift,2001,,1911,1995,Japan,1951
"MAY, Lorna",Quilt: Impact,,object,museum accession,1981,,1920,2012,Australia,1980
"WATSON, Jenny (Creator)",The bottled memories (from 'AUS Australien' 1988 portfolio),,graphics,bequest,1989,,1951,,,1988
TOYONOBU (Creator),O'kiku and Kosuke (no. 6 from a set of twenty-five reprints),,graphics,gift,1990,,1955,,,1955
"BURGESS, Peter",evidenceincamera # 55,,graphics,gift,2007,,1952,,New Zealand,2003
"KOKEI, Tsuruya",Actor Danjuro XII,,graphics,assisted purchase,1997,,1946,,Japan,1992
"BENNETT, Gordon",Self portrait #17,,graphics,assisted purchase,2005,,1955,2014,Australia,2003
"O'MALLEY, Glen","14 January 1987, Atherton - Tom Risley had hung a sculpture on his wall. His son Jeff watched test cricket on T.V. (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1948,,Australia,1987
UNKNOWN,Lace edging,,object,bequest,1975,,,,Belgium,1875
"NEVILLE-ROLFE, Harriet Jane",The Castlevale,,painting,gift,1964,,1850,1928,United States,1884
"MOLVIG, Jon",Figure with hand,,graphics,museum accession,1983,,1923,1970,New Zealand,
"MOLVIG, Jon",Aeroplane,,graphics,museum accession,1983,,1923,1970,New Zealand,1966
"FAIRWEATHER, Ian",(Landscape at sunset;  a track over a forested hill and village beyond),,painting,bequest,1983,,1891,1974,United States,1914
"FAIRWEATHER, Ian",Untitled (bust-length sketch of a soldier),,graphics,bequest,1983,,1891,1974,United States,1914
"GIMBLETT, Max",I love this dance,,graphics,gift,2000,,1935,,New Zealand,1984
"MORGAN, Sally",Another story,,graphics,gift,2006,,1951,,,1988
CRISTALLERIE D'EMILE GALLÉ (Manufacturer),Vase,,object,bequest,1975,,1867,1914,France,1900
"HOMONAI, Pal",My village,,painting,museum accession,1980,,1922,,,1977
"MERCER, Robert","Back of cottages, Mantaka, NQ (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1949,,United States,1986
"HIROSHIGE, after Ichiryusai",View from the Tokaido,,graphics,gift,1990,,1797,1858,Japan,
CHELSEA-DERBY,Figurine: Goatherd,,object,gift,1982,,1769,1775,,1769
"MACEY, Barbara",Quilt: Wave 7,,object,museum accession,1981,,1935,,,1981
"MACKINOLTY, attrib. to Chips (Collaborating artist)",Who gets the choice cuts?,,graphics,gift,1993,,1954,1952,,1981
"YOMUD, TURKMEN PEOPLE",Ensi (Tent entrance hanging),,object,gift,1982,,,,,1880
"GILLOIS, Pierre",Tea caddy,,object,museum accession,1982,,1766,,France,1772
"PALMER, Ethleen",Spindrift,,graphics,gift,1985,,1906,1958,New Zealand,1939
"OSWALD-JACOBS, Robyn",Embroidered picture (from 'Flinders fragment' series),,object,museum accession,1981,,1949,,Australia,1981
"DERMER, John",Urn,,object,museum accession,1981,,1949,,Australia,1980
"PRESTON, Reg",Platter,,object,museum accession,1981,,1917,2000,Australia,1981
"RICHARDS, Edit",Wallhanging: Mountain & Flash,,object,museum accession,1981,,1943,,Australia,1980
"SELLBACH, Udo","(Untitled 27) (from 'Night watch, a print cycle of thirty etchings' portfolio)",,graphics,gift,1991,,1927,2006,South Africa,1990
"LEDWICH, Damien (Creator)",Toad busters,,graphics,gift,1995,,1956,,,1985
"CAMPBELL, Robert",(Landscape),,painting,bequest,1977,,1902,1972,United States,1949
"NEWMARCH, Ann",Women hold up half the sky,,graphics,bequest,1991,,1945,2022,South Africa,1978
"USHIJIMA, Tomoko",Monaka to Monika,,graphics,museum accession,1991,,1958,,Japan,1990
"YOKOO, Tadanori (Creator)",Tejas-bhumi (from 'Shambala' portfolio),,graphics,museum accession,1991,,1936,,,1974
"INKAMALA, Clara (Potter)",Ntaria Garage,,object,gift,2007,,1954,1990,Australia,2007
"O'CONNOR, Victor",Jacob's wife,,painting,museum accession,1973,,1918,2018,Australia,1942
"ROBERTS, Tom","Mrs Tom Roberts (Lillie, 1860-1928, the artist's wife)",,sculpture,museum accession,1973,,1856,1931,Australia,1905
"VASSILIEFF, Danila","Shirley, Dennis and grand-parents",,painting,museum accession,1973,,1897,1958,United States,1941
"DAVIES, David",Sketch,,painting,museum accession,1973,,1864,1939,Australia,1922
"DAVIES, David",(Farm building beside a stream),,painting,museum accession,1973,,1864,1939,Australia,
"MEISSNER, Leo John",Seagulls,,graphics,,,,1895,1977,United States,1936
UNKNOWN,Card case,,object,gift,1960,,,,,1913
UNKNOWN,British Empire Exhibition 1925 medal,,object,museum accession,1981,,,,,1925
"CONZ, Francesco",(Daniel Spoerri),,photography,gift,1995,,1935,2010,Italy,
"MACQUEEN, Kenneth",Hook Island from Hayman,,painting,gift,2002,,1897,1960,New Zealand,1938
"PAM, Max","River bank, Lawn Hill National Park (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1949,,Australia,1986
"MAY, Phil",This old gentleman is a great lover of ancient art,,graphics,museum accession,1974,,1864,1903,United States,
"MOON, Milton","Platter:  Spirits, Mt Painter (from 'Arkaroola' series)",,object,museum accession,1991,,1926,2019,Australia,1991
"ARCHER, Florence",Covered box,,object,gift,1982,,1898,1947,Australia,1937
"MARTIN, Ida",Vase,,object,gift,1982,,1906,1990,Australia,1937
UNKNOWN,Cup,,object,bequest,1975,,,,China,
"McARTHUR, Kathleen",Emilies (Emilia Sonchifolio),,graphics,gift,1961,,1915,2000,Australia,1958
UNKNOWN,(Seated Apostle),,sculpture,museum accession,1961,,,,Germany,
"HEYSEN, Hans","Camel train, Middle East",,painting,museum accession,1970,,1877,1968,United States,1934
"FULLWOOD, A.H.",Tasmanian landscape,,painting,museum accession,1973,,1864,1930,United States,1892
"DAVIES, David",(Woman crossing a bridge beside a farm),,painting,museum accession,1973,,1864,1939,Australia,
UNKNOWN,Enamelled box,,object,gift,1963,,,,,
"FEDDERSEN, Jutta",Sculpture: Mumien 24,,object,museum accession,1982,,1931,,New Zealand,1982
"WATSON, Jenny (Creator)",The bottled memories (from 'AUS Australien' 1988 portfolio),,graphics,bequest,1989,,1951,,,1988
"BIKKERS, Rudolf",(Untitled) (from 'Volatile alliances' 1995 portfolio),,graphics,gift,1998,,,,,1994
"LITÉ, Herveline",Le pigeon de Mataso (from 'Bebellic' portfolio),,graphics,gift,2008,,1980,,,2007
"SEULE, Sepa",Popo (from 'Bebellic' portfolio),,graphics,gift,2008,,1983,,,2007
"MOON, Milton",Small bowl,,object,gift,1986,,1926,2019,Australia,1960
"REES, Lloyd",(Two studies - vase of flowers and driveway at Cowlishaw's),,graphics,gift,1999,,1895,1988,Australia,1914
"CHIKANOBU, Toyohara",Women’s activities of the Tokugawa Era,,graphics,museum accession,1976,,1838,1912,Japan,1896
"BARROW, Sue",Wall sculpture:  SB27 (from 'Caged axe' series),,object,museum accession,1980,,1949,,Australia,1980
"HERMAN, Sam",Vase:  Form 1660,,object,gift,1980,,1936,2020,,1977
"KELLENBACH, Ingrid",Brooch. 1K2,,,museum accession,1981,,1957,,,1979
"DOWMAN, Deidre",Assemblage:  Slow train,,object,museum accession,1980,,1947,,New Zealand,1980
"PFENNINGER, Ernst",Bracelet,,,museum accession,1981,,1948,,New Zealand,1979
"KITAJ, R.B.",Acheson go home,,graphics,museum accession,1984,,1932,2007,,1963
"WOOLNER, Thomas",Portrait medallion of William Charles Wentworth,,sculpture,gift,2010,,1825,1892,United States,1854
"L'ESTRANGE, Sally (Creator)",April (from 'Like a Book of Hours' series),,graphics,gift,1992,,1953,,,1992
"THORPE, Lesbia",A harbour view,,graphics,museum accession,1981,,1919,2009,Australia,1980
"KUNISADA II, Utagawa",A New Year's interview (centre panel of triptych),,graphics,museum accession,1976,,1823,1880,Japan,1856
MEISSEN,Cup and saucer (fluted),,object,museum accession,1952,,1710,,Germany,1800
DOULTON & CO (Lambeth) (Manufacturer),Commemorative jug,,object,gift,1931,,1858,1956,,1897
UNKNOWN,Harvest jug,,object,museum accession,1952,,,,,1840
"BLACK, Sandra",Bowl,,object,museum accession,1981,,1950,,,1981
"SELLBACH, Udo","(Untitled 11) (from 'Night watch, a print cycle of thirty etchings' portfolio)",,graphics,gift,1991,,1927,2006,South Africa,1990
"MURRAY, James Alexander",River shipping,,photography,gift,1984,,1892,1949,United States,
"GAZZARD, Marea",Floor vase,,object,museum accession,1965,,1928,2013,New Zealand,1964
"McKAY, John",Teapot,,object,gift,1975,,,,United Kingdom,1781
"BRODZKY, Horace",(Nude on a bed),,painting,museum accession,1974,,1885,1969,Australia,1917
"BUSTARD, William",Sketch for Holy Spirit Chapel High Altar triptych,,graphics,gift,1976,,1894,1973,United States,1937
"ROWLANDSON, attrib. to Thomas",Conversazione,,painting,museum accession,1977,,1756,1827,,1815
NGUYEN Xuan Tiep,Fairy no. 4,,graphics,gift,1996,,1956,,Vietnam,1993
"LOO, Rosalie",Bracelet I,,,museum accession,1981,,1944,,Australia,1980
"LINDSAY, Norman",Rita,,painting,gift,1972,,1879,1969,Australia,1938
"SAWYER, Sidney Charles",Brooch,,,bequest,1983,,1882,1964,Australia,1942
"OLDAY, John",Peace,,graphics,gift,1957,,1905,1977,United States,
DOULTON & CO (Burslem),Oval dish,,object,museum accession,1952,,1878,,,
"FOX, Ethel Carrick",A bunch of flowers,,painting,museum accession,1943,,1872,1952,United States,1936
"RAMSAY, Hugh",Portrait study,,painting,gift,1943,,1877,1906,Australia,1899
"SHERRIN, Frank",A summer afternoon,,painting,museum accession,1946,,1893,1968,Australia,1946
"SHERRIN, Frank",Pottery kilns,,painting,museum accession,1946,,1893,1968,Australia,1946
"BARRON, Howard","The Murrumbidgee at Jugiong, NSW",,painting,museum accession,1946,,1900,1991,New Zealand,1945
"DALGARNO, Roy",Dig,,graphics,gift,1958,,1910,2001,New Zealand,1939
"JOHNSON, Michael",Painting no. 3,,painting,museum accession,1976,,1938,,New Zealand,1976
"HARVEY, L.J.",Plaque:  Beatrice,,object,gift,1983,,1871,1949,Australia,1925
UNKNOWN,"Queensland Camera Club, Kodak Competition 1928.  A Grade medallion presented to William Robson",,object,gift,1983,,,,,
"BAKER, Miranda",Burlurpurr (Conical basket),,,assisted purchase,2008,,1976,,Australia,2006
BOHEMIAN STYLE,Beaker,,object,bequest,1975,,,,Czech Republic,1840
"KEITH, John James",Cream jug,,object,bequest,1972,,1824,1875,,1844
"HIPKINS, Gavin",Picton (Boats) (from 'The Homely' series 1997-2000),,photography,assisted purchase,2008,,1968,,New Zealand,2000
"PAREKOWHAI, Michael",The Horn of Africa,,sculpture,assisted purchase,2008,,1968,,New Zealand,2006
"MARTIN, Lin","Jim Egan, farmer, Rathdownie (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1953,,Australia,1986
SUI STYLE,Tomb figure:  (Male figure with cloak),,object,museum accession,1958,,,,China,
"HIPKINS, Gavin",Napier (Stage) (from 'The Homely' series 1997-2000),,photography,assisted purchase,2008,,1968,,New Zealand,1999
"HIPKINS, Gavin",Napier (Grass) (from 'The Homely' series 1997-2000),,photography,assisted purchase,2008,,1968,,New Zealand,1999
LO Yat Ngam,Pair of hanging scrolls:  (couplet chiselled by Bodhidharma),,painting,gift,2008,,1928,2007,China,2004
"BURSTOW, Graham","Keen supporters, Warwick (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1927,2022,Australia,1986
"LETHBRIDGE, John (Creator)",The ring cycle IV (from 'AUS Australien' 1988 portfolio),,graphics,bequest,1989,,1948,,,1988
"DUPAIN, Max",Monstera Deliciosa group,,photography,museum accession,1983,,1911,1992,New Zealand,1983
"BOYD, Penleigh",Ocean beach,,painting,museum accession,1951,,1890,1923,Australia,1920
UNKNOWN,Pin,,object,gift,1979,,,,,1800
"GIMBLETT, Max",Studio group study,,graphics,gift,2000,,1935,,New Zealand,1975
"LINDSAY, Norman",The butterfly,,graphics,gift,1960,,1879,1969,Australia,1922
"SOFO, Charlie",Unknown particles,,graphics,gift,2009,,1983,,Australia,2008
"LIEBERMANN, Max",Selbstportrat (Self portrait),,graphics,gift,1993,,1847,1935,Germany,1913
"SPOERRI, Daniel (Creator)",Untitled (from 'Herz recipe' (Heart recipe) portfolio),,graphics,gift,1995,,1930,,,1987
"FAIRWEATHER, Ian",Untitled (sketch of legs),,graphics,bequest,1983,,1891,1974,United States,1920
