Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Tuulikki Pietilä,Roomalainen silta I (Toledo),,graphics,,,,1917,2009,,1956
Carl Eneas Sjöstrand,Maisema Punkaharjulta,,graphics,,,,1828,1906,,1857
Tuulikki Pietilä,Satama (Klarahamn) II,,graphics,,,,1917,2009,,1947
Tuulikki Pietilä,Katakombit,,graphics,,,,1917,2009,,1966
Tuulikki Pietilä,Toreadoreja,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Piha Helsingissä (Kasarmikatu 26),,graphics,,,,1917,2009,,1959
Pentti Kaskipuro,Perunalautanen,,graphics,,,,1930,2010,,1992
Pentti Kaskipuro,Kaloja,,graphics,,,,1930,2010,,1961
Pentti Kaskipuro,päärynä,,graphics,,,,1930,2010,,2006
Carl Eneas Sjöstrand,Gerda Busoni imettämässä lastaan,,graphics,,,,1828,1906,,1892
Carl Eneas Sjöstrand,Seisova pikkulapsi,,graphics,,,,1828,1906,,
Åke Hellman,Kanerva,,,,,,1915,2017,,
Tuulikki Pietilä,Dynaaminen sommitelma,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Maljakko II,,graphics,,,,1917,2009,,1962
Carl Eneas Sjöstrand,"Amor, luonnos veistosta varten",,graphics,,,,1828,1906,,1854
Helene Schjerfbeck,Einar Reuter III,,painting,,,,1862,1946,,1919
Tuulikki Pietilä,Näkymä Karlavägenille,,graphics,,,,1917,2009,,1949
Tuulikki Pietilä,Maisema II (Toledo),,graphics,,,,1917,2009,,1956
Inari Krohn,Kasvioppia,,graphics,,,,1945,,,2004
Tuulikki Pietilä,Fantasia,,graphics,,,,1917,2009,,1955
Tapani Raittila,nimetön,,painting,,,,1921,2018,,1991
Tuulikki Pietilä,Olivinkorjuu III (Provence),,graphics,,,,1917,2009,,1962
Tuulikki Pietilä,Korpilahdelta IV,,graphics,,,,1917,2009,,1955
Mikko Oinonen,Naisen selkä,,graphics,,1913,,1883,1956,,1912
Tuulikki Pietilä,Ranta laskuveden jälkeen,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Kuvajaisia (Saaristo 4),,graphics,,,,1917,2009,,1976
Tuulikki Pietilä,Maisema Provencesta,,graphics,,,,1917,2009,,1949
Tuulikki Pietilä,Firenzen Ponte Vecchio,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Hanurinsoittaja,,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Tuulinen ranta (Saaristo 2),,graphics,,,,1917,2009,,1976
Pentti Kaskipuro,Asetelma,,graphics,,,,1930,2010,,2002
Helene Schjerfbeck,"Slottsgränd, Tammisaari",,painting,,,,1862,1946,,1918
Helene Schjerfbeck,Maisema Tammisaaresta,,painting,,,,1862,1946,,1920
Tapani Raittila,"luonnos, tuolilla istuva mies",,graphics,,,,1921,2018,,1994
Juho Rissanen,"Korituolissa istuva nainen, joka ompelee",,graphics,,,,1873,1950,,
Albert Engström,"Jätkien kesken, pilakuva",,graphics,,,,1869,1940,,
Tuulikki Pietilä,Ulkoinen (sarjasta Toiset maailmat),,graphics,,,,1917,2009,,1968
Berndt Abraham Godenhjelm,AIHE: Kolme alastonta mieshahmoa sekä polvistuva nainen ; Alaston mies ja polvistunut alaston nainen kääntyneinä toisiinsa päin (kaksipuolinen teos),,graphics,,1913,,1799,1881,,
Tuulikki Pietilä,Kristallihäkkyrä,,graphics,,,,1917,2009,,1963
Ilja Repin,"Professori N. Kareeff, muotokuvaharjoitelma",,graphics,,,,1844,1930,,
Tuulikki Pietilä,Katukuva Sevillasta,,graphics,,,,1917,2009,,1961
Albert Edelfelt,Soutava nainen,,graphics,,1935,,1854,1905,,
Tuulikki Pietilä,Pinxin näyttelyn kutsukortti (gris-bleu-noir),,graphics,,,,1917,2009,,1965
Tuulikki Pietilä,Maisema Korpilahdelta,,graphics,,,,1917,2009,,1957
Werner Holmberg,Suomalainen järvimaisema,,painting,,1912,,1830,1860,,1854
Tuulikki Pietilä,Korpilahtea,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Musta kortteli,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Variaatio teemasta I B,,graphics,,,,1917,2009,,1957
,4e Emprunt National. Société Centrale des Banques de Province (juliste),,graphics,,,,,,,1917
Niilo Hyttinen,Omakuva,,graphics,,,,1940,2010,,1987
Ernst Josephson,"Nainen, joka vetää mustia hansikkaita käsiinsä",,graphics,,,,1851,1906,,1888
Carl Eneas Sjöstrand,Istuva nainen,,graphics,,,,1828,1906,,1857
Tuulikki Pietilä,Tehtaassa IV,,graphics,,,,1917,2009,,1955
Niilo Hyttinen,Kansanedustaja Emil Partanen,,graphics,,,,1940,2010,,1971
Inari Krohn,Haukan syöksy,,graphics,,,,1945,,,1978
Karl Emanuel Jansson,"Kosinta Ahvenanmaalla, harjoitelma",,painting,,,,1846,1874,,1871
Tapani Raittila,"Croquis, seisova mies",,graphics,,,,1921,2018,,1992
Tuulikki Pietilä,Menton,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Kaksi naista,,graphics,,,,1917,2009,,1953
Tuulikki Pietilä,Rakentajat I,,graphics,,,,1917,2009,,1955
Carl Eneas Sjöstrand,Helmi Sjöstrand maalaamassa taulua,,graphics,,,,1828,1906,,1893
Tuulikki Pietilä,Kiekot (sarjasta Toiset maailmat),,graphics,,,,1917,2009,,1966
Berndt Abraham Godenhjelm,Kristuksen kirkastaminen vapaasti Rafaelin mukaan,,graphics,,1913,,1799,1881,,
Tuulikki Pietilä,Varhainen aamu (Saaristo 3),,graphics,,,,1917,2009,,1976
Tuulikki Pietilä,Ulkosaaristo - Sataman kalliot I,,graphics,,,,1917,2009,,1980
Tuulikki Pietilä,Illan tullen,,graphics,,,,1917,2009,,1964
Tuulikki Pietilä,Tuulenpesä,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Kalanmyyjät,,graphics,,,,1917,2009,,1962
Albert Edelfelt,Draperiaharjoitelmia,,graphics,,1935,,1854,1905,,
Tuulikki Pietilä,Mainospylväs,,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Picadoreja II,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Pakeneva nainen,,graphics,,,,1917,2009,,1965
Tuulikki Pietilä,Patio Alhambrassa,,graphics,,,,1917,2009,,1961
Isak Wacklin,Miehen muotokuva,,painting,,,,,1758,,1754
Kain Tapper,Riika sovittaa hattua,,graphics,,,,1930,2004,,1992
Tuulikki Pietilä,Tour de France (Départ II),,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Romutetut laivat,,graphics,,,,1917,2009,,1955
Lea Ignatius,Poukama,,graphics,,,,1913,1990,,1988
Tuulikki Pietilä,Klovnit taitovoimistelijoina,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Rauniokaupunki (Les Baux),,graphics,,,,1917,2009,,1961
Lea Ignatius,Hämärän lintu,,graphics,,,,1913,1990,,1983
Tuulikki Pietilä,Kubistinen asetelma,,graphics,,,,1917,2009,,1951
Lea Ignatius,Verkoilla,,graphics,,,,1913,1990,,1982
Albert Edelfelt,"Naisenpää, profiili",,graphics,,1935,,1854,1905,,
Robert Wilhelm Ekman,"Riihi ja olkikasa sekä lehtipuu, jossa on kiikku",,graphics,,,,1808,1873,,
Tuulikki Pietilä,Miehet metrossa,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Istuva mies (Le pirate),,graphics,,,,1917,2009,,1953
Tuulikki Pietilä,Markkinaväkeä Toledossa II,,graphics,,,,1917,2009,,1956
Robert Wilhelm Ekman,Olkikattoisen ja kivijalalla seisovan makasiinin pääty,,graphics,,,,1808,1873,,
Tuulikki Pietilä,Korpilahdelta III,,graphics,,,,1917,2009,,1955
Mikko Oinonen,Polvistuva alaston selästäpäin,,graphics,,1913,,1883,1956,,1912
Tuulikki Pietilä,Maurilainen portti (Granada),,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Jokisommitelma (Sillat),,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Toursin tuomiokirkko,,graphics,,,,1917,2009,,1961
Tuulikki Pietilä,Variaatio teemasta I A,,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Regatta,,graphics,,,,1917,2009,,1958
Tuulikki Pietilä,Pojan kuva,,graphics,,,,1917,2009,,1955
Simo Hannula,Orimattilan saha,,graphics,,,,1932,2016,,1965
Anitra Lucander,Lapsenlapsi,,graphics,,,,1918,2000,,1981
Lea Ignatius,Valo vastarannalla,,graphics,,,,1913,1990,,1981
Pentti Kaskipuro,Puita,,graphics,,,,1930,2010,,
Inari Krohn,Karhu,,graphics,,,,1945,,,1991
Ker Xavier Roussel,Nuoruuden lähde,,painting,,,,1867,1944,,
Tuulikki Pietilä,Piirtoja,,graphics,,,,1917,2009,,1965
Carl Eneas Sjöstrand,Kalevala-aiheinen figuuriluonnos paperin molemmilla puolilla,,graphics,,,,1828,1906,,
Tuulikki Pietilä,Surmanajajat,,graphics,,,,1917,2009,,1957
Tuulikki Pietilä,Harry,,graphics,,,,1917,2009,,1955
Tuulikki Pietilä,Kaupunkifantasia,,graphics,,,,1917,2009,,1955
Lea Ignatius,Aamusoutu,,graphics,,,,1913,1990,,1980
Tuulikki Pietilä,Kaakkoismyrsky II (Saaristo 36),,graphics,,,,1917,2009,,1978
Tuulikki Pietilä,Ballerina,,graphics,,,,1917,2009,,1951
Tuulikki Pietilä,Markkinaväkeä Toledossa I,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Sademetsä,,graphics,,,,1917,2009,,1963
Tuulikki Pietilä,Fantasia,,graphics,,,,1917,2009,,1956
Tuulikki Pietilä,Rankentajia I,,graphics,,,,1917,2009,,1955
Nils Kreuger,Vanha tamma,,painting,,,,1858,1930,,1909
Lea Ignatius,Ehtoo,,graphics,,2003,,1913,1990,,1983
Tuulikki Pietilä,Lähde,,graphics,,,,1917,2009,,1963
Albert Edelfelt,Nischni-novgorodilaisia mustalaisnaisia vanhavenäläisissä puvuissa,,graphics,,1935,,1854,1905,,
Renato Bruscaglia,Varjot kulkevat,,graphics,,,,,,,1991
Lea Ignatius,Aamulintu II,,graphics,,2003,,1913,1990,,1980
Ernst Josephson,Naisen muotokuva,,graphics,,,,1851,1906,,
Karl Emanuel Jansson,"Poika saa maitoa, luonnos I",,painting,,,,1846,1874,,1869
Lea Ignatius,Lähtö V,,graphics,,2003,,1913,1990,,1986
Henry de Vallombreuse,Savipullo (leveämpi malli),,graphics,,1909,,,,,1900
Tuulikki Pietilä,Mantere,,graphics,,,,1917,2009,,1964
Lea Ignatius,Iltatyven,,graphics,,,,1913,1990,,1978
Carl Eneas Sjöstrand,"Kaksi lasta ja susi, luonnos Väinämöisen soitto -friisiä varten",,graphics,,,,1828,1906,,
Eero Järnefelt,Näköala Kolilta,,graphics,,,,1863,1937,,1907
Tuulikki Pietilä,Tiedotus,,graphics,,,,1917,2009,,1964
Victor Westerholm,Talviaurinkoa,,painting,,1909,,1860,1919,,1909
Tuulikki Pietilä,Syysmaisema (Les Baux),,graphics,,,,1917,2009,,1961
